BEGIN	CurveValue
Zeit	km^-1
415.131501	22.560978
417.5275	22.707564
419.9245	22.910735
422.3205	23.233369
424.716501	23.556343
427.1125	24.240034
429.508501	24.584458
431.904501	24.928882
434.301501	25.295583
436.6985	26.073334
439.0995	26.526509
441.498501	26.979684
443.8915	27.432859
446.3005	28.446573
448.6845	29.624735
451.074501	30.227759
453.4845	30.428181
455.8695	30.726266
458.262501	31.195592
460.6625	31.628795
463.054501	32.120571
465.4515	32.655702
467.847501	32.927548
470.2435	33.199395
472.640501	33.497024
475.035501	33.798115
477.4315	34.010506
479.828501	34.33485
482.2245	34.67451
484.620501	34.850769
487.0245	34.980245
489.4125	35.163638
491.808501	35.434762
494.2045	35.816596
496.601501	36.144808
498.999501	36.381313
501.3995	36.537594
503.801501	36.990293
506.2015	37.641781
508.5995	38.207488
510.978501	38.599628
513.386501	39.088976
515.772501	39.491298
518.166501	39.788408
520.5625	40.184758
522.965501	40.584327
525.3555	41.248584
527.751501	41.774461
530.1485	42.033738
532.5435	42.517978
534.939501	43.063954
537.335501	43.652068
539.732501	43.968879
542.1285	44.15055
544.5245	44.353562
546.920501	44.72668
549.3165	45.037536
551.712501	45.323465
554.108501	45.662519
556.505501	46.074346
558.9015	46.482955
561.3125	46.650687
563.6985	46.866886
566.098501	47.393216
568.498501	47.750644
570.886501	48.08474
573.3005	48.452357
575.6855	48.919372
578.0705	49.340805
580.4845	49.822328
582.8695	50.344693
585.259501	50.906078
587.6555	51.562462
590.052501	52.186752
592.4645	52.738411
594.844501	53.242868
597.2405	53.756841
599.647501	54.370617
602.0335	54.927776
604.429501	55.453047
606.825501	55.980359
609.2215	56.242994
611.617501	56.508749
614.0145	56.675095
616.416501	56.993986
618.8065	57.588436
621.202501	58.068434
623.5995	58.352018
625.998501	58.593539
628.3995	58.877288
630.8005	59.20646
633.1985	59.495777
635.587501	59.62985
637.975501	60.138186
640.409501	60.679369
642.768501	61.083922
645.1645	61.504704
647.5605	62.054368
649.956501	62.691449
652.3695	63.089857
654.749501	63.301156
657.1485	63.626908
659.541501	64.212671
661.9375	64.813105
664.3335	65.194651
666.729501	65.377715
669.1255	65.765741
671.522501	66.239405
673.9185	66.037712
676.314501	65.627543
678.710501	65.361118
681.1065	65.22986
683.502501	65.394492
685.8995	65.544643
688.301501	65.74138
690.6945	65.616834
693.0995	65.43956
695.498501	64.944432
697.884501	64.25158
700.3005	63.890586
702.6715	64.059856
705.067755	64.049591
707.475755	63.963132
709.859755	63.88528
712.255755	64.009505
714.651755	64.183135
717.047755	64.12301
719.443755	63.782387
721.839755	63.659997
724.235755	63.587673
726.646755	63.677021
729.027755	63.820085
731.423755	64.087829
733.819755	64.521032
736.215755	64.809871
738.611755	64.720753
741.007755	64.466352
743.403755	64.35775
745.801755	64.498247
748.199755	64.399468
750.599755	64.456235
752.989755	64.637892
755.395755	64.77442
757.800755	64.587682
760.175755	64.599548
762.572755	64.582817
764.968755	64.521028
767.365755	64.421007
769.760755	64.282255
772.156755	64.054592
774.552755	63.990877
776.948755	64.129432
779.344755	64.266945
781.752755	64.239797
784.144755	64.345795
786.532755	64.187517
788.928755	64.298801
791.324755	64.430148
793.720755	64.546518
796.116755	64.523288
798.512755	64.587658
800.908755	64.479752
803.304755	64.506285
805.700755	64.75786
808.099755	64.919232
810.499755	64.826884
812.893755	64.794188
815.299755	64.759301
817.698755	64.670813
820.084755	64.775716
822.483755	65.046532
824.8695	64.788941
827.265501	64.596947
829.6615	64.515299
832.057501	64.425392
834.453501	64.283906
836.861501	64.457493
839.245501	64.568777
841.6485	64.479839
844.0375	64.489002
846.4345	64.570653
848.830501	64.467232
851.226501	64.417748
853.6225	64.500051
856.018501	64.462572
858.4215	64.334671
860.8105	64.473428
863.206501	64.557929
865.603501	64.540161
867.999501	64.624207
870.406501	64.818321
872.8005	64.813827
875.1985	64.657193
877.5995	64.673814
879.985501	64.710608
882.386501	64.690372
884.772501	64.757678
887.1685	64.848401
889.564501	64.826759
891.9715	64.681984
894.3565	64.521947
896.7535	64.555436
899.1495	64.687985
901.545501	64.822267
903.9415	64.799875
906.337501	64.903946
908.733501	65.115816
911.130501	65.092862
913.5265	64.802616
915.9225	64.684445
918.318501	64.804947
920.7145	64.873509
923.110501	64.645718
925.506501	64.482665
927.9025	64.907482
930.301501	65.331392
932.6985	65.165743
935.0995	64.79772
937.511501	64.634762
939.8895	64.810412
942.3005	64.75758
944.6845	64.62955
947.071501	64.70997
949.4845	64.882754
951.8695	65.060196
954.2605	65.093187
956.656501	65.118852
959.052501	65.221325
961.4485	65.171323
963.844501	64.773227
966.2405	64.582858
968.636501	64.801945
971.032501	65.071374
973.429501	65.078052
975.825501	64.537149
978.2215	64.21318
980.617501	64.217913
983.013755	64.400781
985.409755	64.569696
987.805755	64.417
990.201755	64.046193
992.598755	63.706637
994.996755	63.639415
997.399755	64.009196
999.799755	64.32353
1002.192755	64.338074
1004.577755	64.172947
1006.973755	64.01992
1009.369755	63.99305
1011.765755	64.276081
1014.161755	64.610409
1016.557755	64.702403
1018.967755	64.742516
1021.349755	64.768851
1023.745755	64.672324
1026.147755	64.729982
1028.537755	64.796438
1030.933755	64.772747
1033.329755	64.871535
1035.725755	64.922317
1038.121755	64.998758
1040.517755	64.986345
1042.913755	65.064859
1045.309755	65.213132
1047.705755	65.305298
1050.101755	65.228075
1052.498755	65.229494
1054.899755	65.214485
1057.302755	64.968112
1059.699755	64.847646
1062.087755	64.833659
1064.494755	65.02065
1066.884755	65.31446
1069.269755	65.198181
1071.684755	64.994585
1074.061755	64.813381
1076.457755	64.73964
1078.889755	64.551627
1081.249755	64.573109
1083.648755	64.653603
1086.041755	64.69907
1088.437755	64.641101
1090.833755	64.49277
1093.229755	64.46193
1095.625755	64.522702
1098.021755	64.681821
1100.421755	64.827505
1102.813755	64.877142
1105.209755	64.842741
1107.605755	64.671395
1110.001755	64.367865
1112.413755	64.107602
1114.801755	64.11151
1117.189755	64.20144
1119.599755	64.258797
1121.992755	64.250131
1124.377755	64.232246
1126.773755	64.208507
1129.169755	64.167212
1131.565755	64.167565
1133.967755	63.929542
1136.365755	63.779332
1138.752755	63.836657
1141.148755	64.085297
1143.544755	64.328608
1145.940755	64.674459
1148.336755	64.957138
1150.732755	65.003487
1153.128755	64.669169
1155.524755	64.350493
1157.920755	64.05836
1160.316755	64.053548
1162.712755	64.332682
1165.108755	64.749433
1167.504755	65.136619
1169.900755	65.44034
1172.300755	65.342705
1174.698755	64.858849
1177.093755	64.260506
1179.489755	63.91799
1181.896755	63.908056
1184.300755	64.048515
1186.671755	64.31634
1189.083755	64.642996
1191.484755	64.885499
1193.859755	65.05135
1196.255755	64.599703
1198.651755	63.976754
1201.047755	63.604865
1203.443755	63.384887
1205.839755	63.392258
1208.234755	63.732972
1210.644755	64.179294
1213.026755	64.502127
1215.422755	64.513854
1217.818755	64.183601
1220.214755	63.7944
1222.610755	63.594149
1225.006755	63.257387
1227.402755	62.828126
1229.800755	62.322439
1232.198755	62.218748
1234.596755	62.001264
1236.987755	61.455861
1239.394755	60.678311
1241.777755	59.645723
1244.173755	58.290523
1246.568755	56.971052
1248.967755	55.804277
1251.360755	54.817053
1253.756755	53.757445
1256.152755	52.380343
1258.548755	50.690361
1260.944755	49.03182
1263.339755	47.444864
1265.735755	45.935794
1268.131755	44.450415
1270.527755	43.078828
1272.923755	41.754927
1275.319755	40.645904
1277.714755	39.509134
1280.110755	38.54577
1282.506755	37.562083
1284.902755	36.546267
1287.312755	35.608311
1289.699755	34.811102
1292.094755	34.340409
1294.499755	33.926105
1296.892755	33.333046
1299.298755	32.833184
1301.684755	32.364825
1304.069755	31.717482
1306.483755	31.037152
1308.869755	30.480923
1311.256755	30.003187
1313.652755	29.850331
1316.048755	29.645002
1318.444755	29.418696
1320.840755	29.202526
1323.235755	28.845007
1325.631755	28.421719
1328.027755	28.029051
1330.423755	27.683399
1332.819755	27.672456
1335.215755	27.568477
1337.610755	27.51146
1340.006755	27.562275
1342.405755	27.621799
1344.800755	27.616837
1347.198755	27.434046
1349.599755	27.125562
1351.993755	26.855435
1354.388755	26.855838
1356.777755	26.574426
1359.173755	26.419899
1361.569755	26.41822
1363.967755	26.438355
1366.369755	26.360194
1368.757755	26.144188
1371.153755	26.006645
1373.548755	26.062835
1375.944755	26.029365
1378.340755	25.651901
1380.736755	25.338995
1383.132755	25.215772
1385.528755	25.190808
1387.924755	25.244161
1390.320755	24.829152
1392.716755	24.559013
1395.111755	24.477027
1397.507755	24.440984
1399.903755	24.39087
1402.300755	24.570265
1404.698755	24.870205
1407.102755	24.921779
1409.497755	24.577306
1411.899755	24.269513
1414.300755	24.300913
1416.684755	24.455811
1419.070755	24.580792
1421.484755	24.60377
1423.869755	24.509358
1426.258755	24.643889
1428.654755	25.010172
1431.050755	25.314927
1433.446755	25.448013
1435.842755	25.465744
1438.237755	25.146292
1440.633755	24.714437
1443.029755	24.45081
1445.425755	24.333669
1447.821755	24.433978
1450.217755	24.672617
1452.613755	24.799794
1455.009755	24.806701
1457.405755	25.025561
1459.801755	25.297611
1462.198755	25.414091
1464.598755	25.262321
1466.994755	24.981972
1469.398755	24.522304
1471.800755	24.03596
1474.176755	23.932858
1476.571755	23.968054
1478.967755	24.113376
1481.369755	24.439897
1483.759755	24.738543
1486.155755	24.927938
1488.551755	24.981916
1490.947755	24.788272
1493.342755	24.219427
1495.738755	23.618155
1498.148755	23.232384
1500.530755	23.156494
1502.926755	23.203602
1505.322755	23.525474
1507.718755	24.075316
1510.113755	24.495553
1512.509755	24.718687
1514.905755	24.698363
1517.305755	24.371991
1519.698755	23.899588
1522.099755	23.49118
1524.493755	23.352742
1526.898755	23.436323
1529.300755	23.749458
1531.684755	24.225607
1534.084755	24.537113
1536.477755	24.503414
1538.884755	24.240163
1541.259755	23.930338
1543.655755	23.510038
1546.051755	23.121367
1548.447755	22.935095
1550.842755	23.009413
1553.238755	23.416463
1555.648755	23.866463
1558.030755	24.176018
1560.426755	24.14924
1562.821755	23.987428
1565.217755	23.707708
1567.613755	23.24537
1570.009755	22.910994
1572.412755	22.889406
1574.801755	23.050491
1577.199755	23.404922
1579.598755	23.835593
1582.001755	24.156842
1584.419755	24.344055
1586.800755	24.221636
1589.175755	23.919556
1591.572755	23.516324
1593.967755	23.121378
1596.362755	22.88799
1598.758755	22.855646
1601.154755	23.03917
1603.550755	23.378808
1605.945755	23.823673
1608.341755	24.280106
1610.737755	24.553698
1613.146755	24.36089
1615.528755	24.024611
1617.924755	23.664579
1620.320755	23.265275
1622.715755	23.079278
1625.111755	23.117895
1627.507755	23.25924
1629.903755	23.512288
1632.300755	23.986281
1634.698755	24.392467
1637.111755	24.533505
1639.499755	24.395323
1641.899755	24.035226
1644.299755	23.346305
1646.673755	22.776569
1649.084755	22.568011
1651.473755	22.619886
1653.861755	22.748497
1656.256755	23.269866
1658.652755	23.837958
1661.048755	24.157057
1663.444755	24.454692
1665.839755	24.745406
1668.235755	24.667209
1670.644755	24.364091
1673.027755	23.864419
1675.422755	23.51004
1677.818755	23.269576
1680.214755	23.293467
1682.610755	23.450087
1685.006755	23.56571
1687.401755	23.504934
1689.801755	23.375282
1692.198755	22.926443
1694.598755	22.370104
1696.987755	22.010172
1699.393755	21.627179
1701.776755	21.189299
1704.172755	20.817594
1706.568755	20.724647
1708.967755	20.988166
1711.362755	21.307882
1713.755755	21.659238
1716.151755	22.125094
1718.547755	22.601798
1720.943755	22.876457
1723.338755	23.044482
1725.734755	23.385215
1728.130755	23.841722
1730.526755	24.300092
1732.921755	24.626685
1735.317755	24.986601
1737.713755	25.51214
1740.109755	26.180557
1742.505755	26.699283
1744.900755	27.162719
1747.300755	27.51188
1749.699755	27.819767
1752.098755	27.920347
1754.498755	27.930456
1756.902755	28.109693
1759.300755	28.559647
1761.683755	28.906355
1764.067755	29.160789
1766.484755	29.438696
1768.859755	29.789535
1771.254755	30.206478
1773.650755	30.379778
1776.046755	30.417447
1778.442755	30.653218
1780.837755	31.034325
1783.233755	31.594363
1785.629755	32.02933
1788.025755	32.442048
1790.421755	32.799358
1792.816755	33.147526
1795.212755	33.344474
1797.608755	33.660606
1800.003755	33.71984
1802.420755	33.729665
1804.800755	33.667696
1807.198755	33.584475
1809.598755	33.653228
1812.012755	33.784431
1814.400755	33.895622
1816.774755	33.983691
1819.170755	34.134753
1821.565755	34.571817
1823.967755	35.045477
1826.358755	35.413268
1828.752755	35.695041
1831.152755	36.033394
1833.544755	36.217057
1835.939755	36.657704
1838.335755	37.237493
1840.731755	37.99901
1843.127755	38.520067
1845.522755	39.000309
1847.918755	39.480552
1850.314755	40.035331
1852.709755	40.112174
1855.105755	40.294486
1857.501755	40.063484
1859.899755	40.162759
1862.300755	40.24797
1864.699755	40.442101
1867.090755	40.686312
1869.495755	41.095054
1871.884755	41.566808
1874.270755	41.852545
1876.666755	41.905156
1879.062755	42.005024
1881.483755	42.354223
1883.853755	42.68636
1886.260755	42.726444
1888.648755	43.020731
1891.040755	43.065135
1893.436755	43.566329
1895.832755	43.766899
1898.227755	44.235149
1900.623755	44.529092
1903.019755	44.683144
1905.414755	44.549376
1907.810755	44.395616
1910.206755	44.363116
1912.601755	44.497591
1914.998755	44.741184
1917.398755	44.580919
1919.800755	44.386285
1922.253755	44.412248
1924.599755	44.580775
1926.976755	44.743098
1929.386755	44.618325
1931.767755	44.610446
1934.163755	44.448649
1936.558755	44.437655
1938.954755	44.233169
1941.350755	44.519531
1943.745755	44.734802
1946.147755	44.910636
1948.537755	44.868461
1950.942755	44.710662
1953.328755	44.630545
1955.724755	44.60186
1958.119755	44.528203
1960.515755	44.454731
1962.911755	44.441982
1965.306755	44.58776
1967.702755	44.443735
1970.099755	44.339598
1972.499755	44.18576
1974.899755	44.279722
1977.299755	43.967145
1979.698755	43.787896
1982.084755	43.666888
1984.475755	43.750226
1986.883755	44.026395
1989.263755	44.364535
1991.659755	44.736846
1994.055755	44.778605
1996.451755	45.077843
1998.846755	45.128647
2001.242755	45.027036
2003.647755	45.074635
2006.034755	45.212956
2008.429755	45.344923
2010.825755	45.219947
2013.221755	45.540707
2015.621755	45.756208
2018.012755	45.922298
2020.412755	45.749299
2022.804755	45.613718
2025.200755	45.662444
2027.599755	45.54574
2029.994755	45.587098
2032.412755	45.732911
2034.801755	46.120204
2037.198755	46.852361
2039.574755	47.722792
2041.970755	48.5025
2044.369755	49.28836
2046.761755	50.278594
2049.157755	50.634073
2051.553755	51.226782
2053.948755	51.644244
2056.344755	52.684144
2058.740755	53.366226
2061.145755	53.989839
2063.531755	54.70453
2065.927755	55.549769
2068.322755	55.992555
2070.718755	56.439425
2073.114755	56.650089
2075.509755	56.943916
2077.905755	57.136331
2080.302755	57.185329
2082.699755	57.23702
2085.097755	57.658464
2087.499755	57.673611
2089.894755	58.097691
2092.300755	57.974141
2094.684755	58.240523
2097.084755	58.310794
2099.484755	58.516605
2101.861755	58.818023
2104.257755	59.120152
2106.653755	59.278821
2109.048755	59.247443
2111.444755	59.147299
2113.840755	59.077987
2116.235755	59.107703
2118.631755	59.203331
2121.026755	59.338778
2123.422755	59.411571
2125.818755	59.420875
2128.213755	59.490003
2130.609755	59.457172
2133.005755	59.353647
2135.408755	59.301444
2137.801755	59.312739
2140.199755	59.254728
2142.595755	58.996708
2144.986755	59.400978
2147.392755	60.291688
2149.774755	60.454899
2152.170755	60.767998
2154.565755	61.061274
2156.967755	61.028014
2159.357755	60.879447
