BEGIN	CurveValue	DetReflec
Zeit	km^-1	
666.729501	65.377715	0.147364
669.1255	65.765741	0.147424
671.522501	66.239405	0.147472
673.9185	66.037712	0.1475
676.314501	65.627543	0.147364
678.710501	65.361118	0.147279
681.1065	65.22986	0.14723
683.502501	65.394492	0.147296
685.8995	65.544643	0.14734
688.301501	65.74138	0.147339
690.6945	65.616834	0.147401
693.0995	65.43956	0.147443
695.498501	64.944432	0.14741
697.884501	64.25158	0.147348
700.3005	63.890586	0.147253
702.6715	64.059856	0.147244
705.067755	64.049591	0.147386
707.475755	63.963132	0.147375
709.859755	63.88528	0.147164
712.255755	64.009505	0.147219
714.651755	64.183135	0.147407
717.047755	64.12301	0.147348
719.443755	63.782387	0.147233
721.839755	63.659997	0.147464
724.235755	63.587673	0.147481
726.646755	63.677021	0.147328
729.027755	63.820085	0.14749
731.423755	64.087829	0.147502
733.819755	64.521032	0.147315
736.215755	64.809871	0.147425
738.611755	64.720753	0.14747
741.007755	64.466352	0.147342
743.403755	64.35775	0.147448
745.801755	64.498247	0.147488
748.199755	64.399468	0.147384
750.599755	64.456235	0.147381
752.989755	64.637892	0.147554
755.395755	64.77442	0.147364
757.800755	64.587682	0.147318
760.175755	64.599548	0.147486
762.572755	64.582817	0.14743
764.968755	64.521028	0.147403
767.365755	64.421007	0.147505
769.760755	64.282255	0.147445
772.156755	64.054592	0.147324
774.552755	63.990877	0.147549
776.948755	64.129432	0.147477
779.344755	64.266945	0.147404
781.752755	64.239797	0.147596
784.144755	64.345795	0.147499
786.532755	64.187517	0.147368
788.928755	64.298801	0.147533
791.324755	64.430148	0.147502
793.720755	64.546518	0.147359
796.116755	64.523288	0.14753
798.512755	64.587658	0.147552
800.908755	64.479752	0.147417
803.304755	64.506285	0.147445
805.700755	64.75786	0.147647
808.099755	64.919232	0.147454
810.499755	64.826884	0.147417
812.893755	64.794188	0.147507
815.299755	64.759301	0.147562
817.698755	64.670813	0.147377
820.084755	64.775716	0.147518
822.483755	65.046532	0.147612
824.8695	64.788941	0.147446
827.265501	64.596947	0.14746
829.6615	64.515299	0.147586
832.057501	64.425392	0.147485
834.453501	64.283906	0.147423
836.861501	64.457493	0.14757
839.245501	64.568777	0.147539
841.6485	64.479839	0.147449
844.0375	64.489002	0.147587
846.4345	64.570653	0.147647
848.830501	64.467232	0.147452
851.226501	64.417748	0.14747
853.6225	64.500051	0.147618
856.018501	64.462572	0.147551
858.4215	64.334671	0.147519
860.8105	64.473428	0.147643
863.206501	64.557929	0.147702
865.603501	64.540161	0.147571
867.999501	64.624207	0.147572
870.406501	64.818321	0.147724
872.8005	64.813827	0.147632
875.1985	64.657193	0.14748
877.5995	64.673814	0.147629
879.985501	64.710608	0.147679
