k	e	LH	HH	e-LH	e-HH
cm-1					
21000000	1.43005793163169	-1.60011586326339	-0.420050691646014	3.03017379489508	1.85010862327771
21500000	1.4529271494896	-1.6458542989792	-0.440291229508775	3.09878144846879	1.89321837899837
22000000	1.47581671742642	-1.69163343485284	-0.461008015321248	3.16745015227925	1.93682473274767
22500000	1.49872532789133	-1.73745065578265	-0.482201049083434	3.23617598367398	1.98092637697476
23000000	1.52165178204704	-1.78330356409407	-0.503870330795331	3.30495534614111	2.02552211284237
23500000	1.54459497879666	-1.82918995759332	-0.526015860456941	3.37378493638997	2.0706108392536
24000000	1.56755390510216	-1.87510781020432	-0.548637638068262	3.44266171530648	2.11619154317042
24500000	1.59052762742204	-1.92105525484407	-0.571735663629296	3.51158288226611	2.16226329105133
25000000	1.61351528412128	-1.96703056824255	-0.595309937140042	3.58054585236383	2.20882522126132
25500000	1.63651607872822	-2.01303215745643	-0.619360458600499	3.64954823618465	2.25587653732872
26000000	1.65952927393086	-2.05905854786173	-0.643887228010669	3.71858782179259	2.30341650194153
26500000	1.68255418622046	-2.10510837244092	-0.668890245370551	3.78766255866138	2.35144443159101
27000000	1.70559018110287	-2.15118036220573	-0.694369510680145	3.8567705433086	2.39995969178301
27500000	1.72863666880921	-2.19727333761842	-0.720325023939451	3.92591000642764	2.44896169274866
28000000	1.75169310044652	-2.24338620089303	-0.746756785148468	3.99507930133955	2.49844988559499
28500000	1.77475896453683	-2.28951792907366	-0.773664794307198	4.06427689361049	2.54842375884403
29000000	1.79783378390015	-2.3356675678003	-0.80104905141564	4.13350135170045	2.59888283531579
29500000	1.82091711284219	-2.38183422568437	-0.828909556473794	4.20275133852656	2.64982666931598
30000000	1.84400853461289	-2.42801706922577	-0.85724630948166	4.27202560383866	2.70125484409455
30500000	1.867107659106	-2.47421531821199	-0.886059310439238	4.34132297731799	2.75316696954523
31000000	1.89021412077351	-2.52042824154702	-0.915348559346528	4.41064236232052	2.80556268012004
31500000	1.91332757673205	-2.5666551534641	-0.94511405620353	4.47998273019616	2.85844163293558
32000000	1.93644770504104	-2.61289541008208	-0.975355801010244	4.54934311512312	2.91180350605128
32500000	1.95957420313473	-2.65914840626946	-1.00607379376667	4.61872260940419	2.9656479969014
33000000	1.98270678639248	-2.70541357278497	-1.03726803447281	4.68812035917745	3.01997482086529
33500000	2.00584518683325	-2.75169037366649	-1.06893852312866	4.75753556049974	3.0747837099619
34000000	2.02898915192191	-2.79797830384381	-1.10108525973422	4.82696745576572	3.13007441165613
34500000	2.05213844347656	-2.84427688695312	-1.1337082442895	4.89641533042968	3.18584668776606
35000000	2.07529283666689	-2.89058567333378	-1.16680747679448	4.96587851000068	3.24210031346137
35500000	2.09845211909494	-2.93690423818989	-1.20038295724918	5.03535635728483	3.29883507634413
36000000	2.12161608995056	-2.98323217990113	-1.23443468565359	5.10484826985169	3.35605077560415
36500000	2.1447845592345	-3.029569118469	-1.26896266200771	5.1743536777035	3.41374722124221
37000000	2.16795734704298	-3.07591469408596	-1.30396688631155	5.24387204112895	3.47192423335453
37500000	2.19113428290818	-3.12226856581636	-1.33944735856509	5.31340284872453	3.53058164147327
38000000	2.21431520518952	-3.16863041037904	-1.37540407876835	5.38294561556856	3.58971928395787
38500000	2.23749996051141	-3.21499992102281	-1.41183704692132	5.45249988153422	3.64933700743273
39000000	2.26068840324321	-3.26137680648641	-1.44874626302401	5.52206520972961	3.70943466626721
39500000	2.28388039501791	-3.30776079003583	-1.4861317270764	5.59164118505374	3.77001212209431
40000000	2.30707580428617	-3.35415160857235	-1.52399343907851	5.66122741285852	3.83106924336468
40500000	2.33027450590266	-3.40054901180532	-1.56233139903033	5.73082351770798	3.89260590493299
41000000	2.35347638074212	-3.44695276148424	-1.60114560693186	5.80042914222637	3.95462198767398
41500000	2.37668131534266	-3.49336263068532	-1.6404360627831	5.87004394602798	4.01711737812576
42000000	2.399889201574	-3.53977840314799	-1.68020276658405	5.93966760472199	4.08009196815805
42500000	2.42309993632874	-3.58619987265749	-1.72044571833472	6.00929980898623	4.14354565466347
